DESTPORT;PROTOCOL;SERVICE;SERVICE
5742;UDP;BitTorrent;1
5778;TCP;Unknown;1
5778;UDP;BitTorrent;1
5830;UDP;STUN;1
5876;UDP;BitTorrent;1
5891;TCP;Unknown;1
5891;UDP;Unknown;1
5914;UDP;BitTorrent;1
5918;UDP;BitTorrent;1
5935;UDP;BitTorrent;1
5938;TCP;TeamViewer;330
5938;UDP;TeamViewer;64
5954;UDP;BitTorrent;1
5991;TCP;RDP;1
6054;TCP;RDP;1
6100;UDP;BitTorrent;1
6112;TCP;Unknown;2
6112;UDP;Unknown;1
6151;UDP;BitTorrent;1
6181;UDP;BitTorrent;2
6188;TCP;Unknown;1
6188;UDP;BitTorrent;1
6241;TCP;Unknown;1
6241;UDP;Unknown;1
6242;UDP;BitTorrent;2
6248;TCP;RDP;1
6250;UDP;SIP;2
6273;UDP;BitTorrent;1
6274;UDP;BitTorrent;1
6284;UDP;BitTorrent;4
6343;UDP;BitTorrent;2
6351;UDP;STUN;1
6358;UDP;STUN;1
6363;UDP;STUN;1
6378;TCP;Unknown;3
6378;UDP;BitTorrent;1
6392;UDP;BitTorrent;1
6411;UDP;BitTorrent;1
6441;UDP;BitTorrent;2
6446;TCP;RDP;1
6447;TCP;TLS;1
6455;UDP;STUN;1
6459;UDP;BitTorrent;1
6465;UDP;BitTorrent;1
6497;UDP;DNS;1
6497;UDP;Signal;1
6498;UDP;BitTorrent;1
6499;UDP;BitTorrent;2
6549;UDP;Signal;1
6551;TCP;RDP;1
6559;UDP;BitTorrent;1
6568;TCP;TLS;1
6568;TCP;Unknown;5
6630;UDP;BitTorrent;1
6653;UDP;BitTorrent;1
6667;TCP;IRC;14
6667;TCP;Unknown;6
6681;TCP;RDP;1
6684;UDP;BitTorrent;1
6689;UDP;STUN;1
6728;TCP;RDP;1
6729;UDP;BitTorrent;1
6753;UDP;BitTorrent;1
6770;UDP;BitTorrent;1
6788;UDP;STUN;1
6814;UDP;BitTorrent;3
6833;UDP;BitTorrent;2
6845;UDP;BitTorrent;1
6862;TCP;RDP;1
6868;TCP;HTTP;25
6868;TCP;Unknown;17
6872;UDP;BitTorrent;1
6880;UDP;BitTorrent;3
6881;TCP;BitTorrent;26
6881;TCP;Radius;1
6881;TCP;Unknown;391
6881;UDP;BitTorrent;995
6881;UDP;Signal;1
6881;UDP;Unknown;55
6882;TCP;Unknown;4
6882;UDP;BitTorrent;43
6883;UDP;BitTorrent;6
6884;UDP;BitTorrent;5
6885;UDP;BitTorrent;2
6887;UDP;BitTorrent;4
6889;UDP;BitTorrent;97
6890;TCP;Unknown;2
6890;UDP;BitTorrent;3
6890;UDP;Unknown;1
6892;UDP;BitTorrent;2
6899;TCP;Unknown;2
6899;UDP;BitTorrent;2
6900;UDP;BitTorrent;1
6904;UDP;BitTorrent;1
6905;UDP;BitTorrent;1
6907;UDP;BitTorrent;3
6911;UDP;BitTorrent;1
6912;UDP;BitTorrent;3
6913;UDP;BitTorrent;1
6914;UDP;BitTorrent;1
6920;TCP;MsSQL-TDS;1
6921;UDP;BitTorrent;1
6930;UDP;STUN;1
6933;TCP;Unknown;2
6933;UDP;BitTorrent;5
6933;UDP;Signal;1
6938;UDP;BitTorrent;1
6940;TCP;Unknown;1
6940;UDP;Unknown;1
6946;UDP;BitTorrent;1
6954;UDP;BitTorrent;1
6956;UDP;BitTorrent;1
6958;UDP;BitTorrent;1
6959;UDP;BitTorrent;2
6961;UDP;BitTorrent;1
6969;TCP;BitTorrent;8
6969;UDP;Amazon;2
6969;UDP;BitTorrent;2
6969;UDP;Unknown;6
6991;UDP;BitTorrent;2
6992;UDP;BitTorrent;1
6996;UDP;BitTorrent;5
6996;UDP;Signal;1
6999;UDP;BitTorrent;1
7001;TCP;HTTP;9
7001;TCP;Unknown;2
7007;UDP;STUN;1
7008;UDP;BitTorrent;1
7009;UDP;BitTorrent;1
7013;TCP;Unknown;3
7013;UDP;Unknown;1
7014;UDP;BitTorrent;2
7024;TCP;RDP;1
7057;UDP;BitTorrent;1
7058;UDP;BitTorrent;1
7070;TCP;Amazon;6
7071;UDP;BitTorrent;1
7071;UDP;STUN;1
7073;UDP;BitTorrent;1
7076;TCP;RDP;1
7107;UDP;BitTorrent;1
7126;TCP;Unknown;3
7126;UDP;BitTorrent;1
7142;TCP;RDP;1
7155;TCP;Unknown;1
7155;UDP;BitTorrent;1
7162;TCP;Unknown;1
7162;UDP;BitTorrent;1
7168;TCP;Unknown;1
7168;UDP;BitTorrent;2
7185;TCP;RDP;1
7195;UDP;BitTorrent;1
7204;TCP;RDP;1
7207;TCP;RDP;1
7221;UDP;STUN;1
7239;UDP;BitTorrent;2
7262;TCP;Unknown;3
7262;UDP;Unknown;1
7275;TCP;Amazon;19
7275;TCP;Google;23
7275;TCP;Unknown;1
7300;TCP;Amazon;7
7322;TCP;Unknown;3
7322;UDP;BitTorrent;1
7323;UDP;BitTorrent;1
7366;UDP;BitTorrent;1
7370;UDP;Unknown;1
7409;UDP;WhatsApp;1
7431;UDP;BitTorrent;1
7449;TCP;RDP;1
7468;UDP;BitTorrent;1
7471;UDP;BitTorrent;1
7487;UDP;BitTorrent;1
7501;UDP;BitTorrent;1
7520;UDP;STUN;1
7535;UDP;STUN;1
7541;UDP;Signal;1
